Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
108,0.012664929032325745,-0.0344325415790081,0.16057077050209045,-0.41082763671875,0.2054595947265625,0.0,0,0,0
109,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
110,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
111,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
112,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
113,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
114,0.02376152202486992,0.03189881145954132,0.060516607016325,-0.361572265625,0.3168792724609375,0.0,0,0,0
115,0.012228436768054962,0.05537058040499687,-0.06947468221187592,-0.2105712890625,0.3686370849609375,0.0,0,0,0
116,0.012228436768054962,0.05537058040499687,-0.06947468221187592,-0.2105712890625,0.3686370849609375,0.0,0,0,0
117,0.012228436768054962,0.05537058040499687,-0.06947468221187592,-0.2105712890625,0.3686370849609375,0.0,0,0,0
118,0.012228436768054962,0.05537058040499687,-0.06947468221187592,-0.2105712890625,0.3686370849609375,0.0,0,0,0
119,0.012228436768054962,0.05537058040499687,-0.06947468221187592,-0.2105712890625,0.3686370849609375,0.0,0,0,0
120,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
121,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
122,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
123,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
124,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
125,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
126,-0.0041731735691428185,-0.006144711747765541,-0.25087350606918335,-0.065948486328125,0.04864501953125,0.0,0,0,0
127,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
128,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
129,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
130,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
131,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
132,0.01059059239923954,-0.014739531092345715,-0.503372073173523,-0.0428924560546875,0.0945281982421875,0.0,0,0,0
133,0.004602208733558655,0.02279932238161564,-0.544829249382019,0.2001953125,0.2970733642578125,0.0,0,0,0
134,0.004602208733558655,0.02279932238161564,-0.544829249382019,0.2001953125,0.2970733642578125,0.0,0,0,0
135,0.004602208733558655,0.02279932238161564,-0.544829249382019,0.2001953125,0.2970733642578125,0.0,0,0,0
136,0.004602208733558655,0.02279932238161564,-0.544829249382019,0.2001953125,0.2970733642578125,0.0,0,0,0
137,0.004602208733558655,0.02279932238161564,-0.544829249382019,0.2001953125,0.2970733642578125,0.0,0,0,0
138,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
139,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
140,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
141,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
142,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
143,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
144,-0.013712882995605469,-0.00857617799192667,-0.3275405764579773,0.353424072265625,0.2947540283203125,0.0,0,0,0
145,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
146,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
147,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
148,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
149,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
150,-0.0072837453335523605,0.0036072516813874245,-0.1388966292142868,0.2952880859375,0.182464599609375,0.0,0,0,0
151,-0.0032503881957381964,0.023937823250889778,-0.05414632707834244,0.266876220703125,0.033416748046875,0.0,0,0,0
152,-0.0032503881957381964,0.023937823250889778,-0.05414632707834244,0.266876220703125,0.033416748046875,0.0,0,0,0
153,-0.0032503881957381964,0.023937823250889778,-0.05414632707834244,0.266876220703125,0.033416748046875,0.0,0,0,0
154,-0.0032503881957381964,0.023937823250889778,-0.05414632707834244,0.266876220703125,0.033416748046875,0.0,0,0,0
155,-0.0032503881957381964,0.023937823250889778,-0.05414632707834244,0.266876220703125,0.033416748046875,0.0,0,0,0
156,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
157,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
158,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
159,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
160,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
161,-0.017886055633425713,-0.031605064868927,-0.1520627737045288,0.203704833984375,-0.0572662353515625,0.0,0,0,0
162,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
163,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
164,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
165,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
166,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
167,-0.01028619334101677,-0.02604544907808304,-0.006293582264333963,0.176055908203125,-0.1656036376953125,0.0,0,0,0
